,nATL,Pamb,P1,P2,P3,P4,M1,M2,M3,T1tot,T2tot,T3tot,T4tot,T oil in,T oil out,T water in,T water out,v oil,v water,T1,T2,T3,V1,V2,V3,Rho1,Rho2,Rho3,v1,v2,v3,P1tot,P2tot,P3tot,Pi,PitotV,M1ref,PitotT,M3red,dHtv,"dHis,tv",ETAis,dHisT,Etamech,kappa,kappa ,Qoil,Qwasser,u/c0
1,67000,97.8,95.14,104.10,128.70,97.83,0.1398,0.1398,0.0888,20.0,45.4,599.8,512.1,99.2,100.4,79.7,81.8,1.40,4.60,19.2,44.2,598.4,0.12328,0.12230,0.17259,1.134,1.143,0.515,40.83,49.66,57.17,96.09,105.51,129.5,1.094,1.098,0.1427,1.324,2.0254,25580.1,7977.6,0.312,67454,0.597,1.399,1.332,50.1,580.4,0.525
2,67010,97.8,96.17,120.60,126.40,97.83,0.1077,0.1077,0.0851,19.7,49.3,599.8,512.8,99.5,100.2,79.6,81.8,1.36,4.62,19.2,48.7,598.5,0.09397,0.08250,0.16842,1.146,1.305,0.505,31.13,33.50,55.78,96.73,121.33,127.2,1.254,1.254,0.1092,1.300,1.9770,29815.8,19678.9,0.660,63189,0.597,1.398,1.332,28.4,610.7,0.543
3,67020,97.8,96.71,126.70,124.20,97.82,0.0856,0.0856,0.0811,20.0,52.9,600.1,513.2,102.2,102.8,79.7,81.9,1.41,4.60,19.7,52.6,598.8,0.07439,0.06316,0.16341,1.151,1.355,0.496,24.64,25.64,54.13,97.06,127.15,124.9,1.310,1.310,0.0865,1.277,1.9185,33146.2,23613.6,0.712,59048,0.592,1.398,1.332,25.2,608.0,0.562
4,67020,97.8,97.12,129.90,121.80,97.80,0.0662,0.0662,0.0766,20.0,56.4,599.8,514.4,99.4,100.6,79.8,82.0,1.45,4.61,19.8,56.2,598.6,0.05731,0.04817,0.15735,1.155,1.374,0.487,18.98,19.56,52.12,97.33,130.16,122.5,1.338,1.337,0.0667,1.252,1.8482,36679.6,25498.6,0.695,54398,0.583,1.398,1.332,51.9,609.4,0.585
5,67000,97.8,97.36,131.10,119.60,97.76,0.0487,0.0487,0.0722,20.0,60.9,600.0,514.2,98.4,99.7,79.7,81.9,1.34,4.60,19.9,60.8,598.9,0.04207,0.03560,0.15109,1.158,1.368,0.478,13.93,14.46,50.05,97.47,131.24,120.2,1.347,1.346,0.0490,1.229,1.7750,41225.1,26118.8,0.634,50110,0.555,1.398,1.332,51.9,608.0,0.609
6,67030,97.8,97.56,131.20,117.40,97.75,0.0352,0.0352,0.0674,20.0,65.4,599.9,514.5,99.3,100.7,80.1,82.3,1.31,4.61,19.9,65.3,598.9,0.03035,0.02606,0.14369,1.160,1.351,0.469,10.05,10.58,47.59,97.62,131.28,117.9,1.345,1.345,0.0354,1.206,1.6887,45773.6,26004.1,0.568,45618,0.524,1.398,1.332,54.7,609.4,0.639
7,82990,97.8,93.82,107.70,147.20,97.93,0.1717,0.1717,0.1161,20.0,58.4,600.1,507.3,99.6,102.6,80.1,82.6,1.42,4.64,18.7,56.5,598.3,0.15330,0.15085,0.19726,1.120,1.138,0.589,50.78,61.25,65.34,95.26,109.83,148.4,1.148,1.153,0.1768,1.516,2.3112,38699.4,12220.5,0.316,98344,0.582,1.398,1.332,126.9,697.0,0.539
8,82990,97.8,95.21,135.40,143.60,97.88,0.1349,0.1349,0.1108,20.1,63.8,599.8,508.8,102.6,104.8,80.1,82.6,1.59,4.60,19.3,63.0,598.0,0.11893,0.09613,0.19292,1.134,1.403,0.574,39.39,39.03,63.90,96.09,136.47,144.8,1.422,1.420,0.1377,1.479,2.2614,44055.2,31049.8,0.705,92772,0.578,1.398,1.332,104.2,691.0,0.555
9,83020,97.8,96.18,145.20,140.30,97.90,0.1088,0.1088,0.1059,20.0,68.7,600.0,510.1,97.1,100.5,80.1,82.6,1.33,4.63,19.5,68.3,598.3,0.09501,0.07342,0.18879,1.145,1.482,0.561,31.47,29.81,62.53,96.75,145.86,141.4,1.510,1.508,0.1103,1.444,2.2132,49111.3,36638.8,0.746,87406,0.577,1.398,1.332,134.8,695.5,0.572
10,83000,97.8,96.72,149.20,136.60,97.88,0.0874,0.0874,0.1002,20.0,72.9,599.9,511.1,99.2,102.0,80.1,82.6,1.33,4.61,19.7,72.6,598.3,0.07595,0.05813,0.18346,1.151,1.503,0.546,25.16,23.60,60.77,97.08,149.62,137.6,1.543,1.541,0.0883,1.406,2.1516,53361.9,38722.7,0.726,81256,0.573,1.398,1.332,111.0,692.5,0.593
11,83010,97.8,97.06,151.10,133.40,97.86,0.0695,0.0695,0.0946,20.1,77.4,600.2,512.9,99.4,102.4,80.1,82.6,1.33,4.64,19.9,77.2,598.7,0.06022,0.04625,0.17745,1.154,1.503,0.533,19.95,18.78,58.77,97.29,151.36,134.3,1.557,1.556,0.0701,1.373,2.0814,57818.7,39639.6,0.686,75786,0.560,1.397,1.332,118.9,697.0,0.614
12,83010,97.8,97.35,151.00,130.00,97.79,0.0509,0.0509,0.0884,20.0,83.6,600.0,513.5,99.4,102.7,80.1,82.6,1.45,4.62,19.9,83.5,598.6,0.04397,0.03450,0.17014,1.157,1.475,0.520,14.57,14.01,56.35,97.47,151.14,130.8,1.551,1.551,0.0512,1.338,1.9968,64205.5,39306.7,0.612,69851,0.529,1.397,1.332,142.6,694.0,0.640
13,99010,97.8,92.26,112.40,173.00,98.12,0.2026,0.2026,0.1484,20.0,75.6,599.2,496.4,103.3,107.7,80.1,83.0,1.57,4.60,18.2,73.0,597.0,0.18360,0.17906,0.21423,1.104,1.131,0.693,60.81,72.70,70.96,94.30,115.39,174.7,1.218,1.224,0.2108,1.781,2.5085,56096.1,17477.8,0.312,133631,0.573,1.398,1.332,205.9,801.5,0.552
14,99010,97.8,94.26,156.10,167.50,97.99,0.1658,0.1658,0.1416,20.0,81.9,599.4,497.5,98.8,103.6,80.1,82.8,1.64,4.61,18.8,80.9,597.3,0.14739,0.10794,0.21119,1.125,1.536,0.670,48.82,43.82,69.95,95.60,157.58,169.1,1.656,1.648,0.1701,1.726,2.4731,62481.2,45177.3,0.723,126902,0.577,1.397,1.332,234.6,747.9,0.566
15,98990,97.8,95.28,169.20,162.70,98.02,0.1365,0.1365,0.1353,19.8,87.5,600.5,499.7,99.2,103.8,80.0,82.8,1.38,4.62,19.0,86.9,598.5,0.12013,0.08337,0.20802,1.136,1.637,0.650,39.79,33.85,68.90,96.18,170.14,164.2,1.776,1.769,0.1392,1.676,2.4350,68365.4,52062.8,0.762,120590,0.572,1.397,1.332,189.2,777.2,0.580
16,99010,97.8,96.06,173.90,157.80,98.02,0.1133,0.1133,0.1285,20.0,92.6,599.7,501.5,99.4,104.3,80.0,82.9,1.35,4.62,19.5,92.2,597.7,0.09905,0.06832,0.20354,1.144,1.658,0.631,32.81,27.74,67.42,96.68,174.54,159.2,1.810,1.805,0.1150,1.624,2.3843,73344.1,54119.4,0.738,113677,0.569,1.397,1.332,197.1,805.0,0.598
17,99020,97.8,96.61,176.40,152.50,97.99,0.0927,0.0927,0.1206,20.0,96.9,599.8,503.6,99.6,104.5,80.1,83.0,1.36,4.62,19.6,96.6,598.0,0.08063,0.05577,0.19771,1.150,1.662,0.610,26.71,22.64,65.49,97.02,176.83,153.8,1.826,1.823,0.0937,1.570,2.3168,77716.6,55061.1,0.708,106082,0.563,1.397,1.332,198.6,805.0,0.619
18,99010,97.8,97.05,176.70,147.60,97.89,0.0698,0.0698,0.1130,19.9,105.6,600.0,505.9,99.7,104.8,80.1,83.1,1.36,4.60,19.7,105.4,598.3,0.06045,0.04292,0.19147,1.155,1.626,0.590,20.02,17.43,63.42,97.28,176.95,148.8,1.821,1.819,0.0704,1.520,2.2443,86677.8,54838.3,0.633,98923,0.541,1.396,1.332,206.7,829.1,0.641
19,115020,97.8,90.50,118.30,210.10,98.54,0.2331,0.2331,0.1870,19.8,96.8,600.3,480.6,99.2,106.8,80.1,83.3,1.46,4.62,17.3,93.3,598.0,0.21470,0.20723,0.22252,1.086,1.125,0.840,71.11,84.14,73.70,93.25,122.28,212.4,1.307,1.311,0.2452,2.155,2.6024,77817.0,23692.7,0.304,173975,0.558,1.397,1.332,330.7,888.3,0.562
20,114950,97.8,92.83,183.80,201.90,98.53,0.1960,0.1960,0.1783,20.0,104.2,599.8,483.0,99.0,105.5,80.1,83.3,1.45,4.62,18.3,103.1,597.5,0.17661,0.11516,0.22067,1.110,1.702,0.808,58.50,46.75,73.09,94.73,185.66,204.0,1.980,1.960,0.2030,2.071,2.5818,85149.6,62380.7,0.733,165638,0.565,1.396,1.332,280.9,888.3,0.575
